course_id,course_grade,enrollments
CHEM-112,B-,36
CHEM-112,C,27
CHEM-112,C+,18
CHEM-112,D,9
CHEM-112,F,6
CHEM-112,RC,1
CHEM-112,RF,3
CHEM-112,W,26
CHEM-112,XD,1
CHEM-112,XF,2
CHEM-112,XU,1
CHEM-113,A,141
CHEM-113,A+,92
CHEM-113,A-,152
CHEM-113,B,139
CHEM-113,B+,87
CHEM-113,B-,136
CHEM-113,C,184
CHEM-113,C+,69
CHEM-113,D,74
CHEM-113,F,35
CHEM-113,I,1
CHEM-113,RC,1
CHEM-113,RC+,1
CHEM-113,RD,17
CHEM-113,RF,14
CHEM-113,W,53
CHEM-113,XD,1
CHEM-113,XF,1
CHEM-114,A,592
CHEM-114,A+,10
CHEM-114,A-,178
CHEM-114,B,92
CHEM-114,B+,124
CHEM-114,B-,29
CHEM-114,C,17
CHEM-114,C+,23
CHEM-114,D,7
CHEM-114,F,4
CHEM-114,W,40
CHEM-114,XF,1
CHEM-115,A,9
CHEM-115,A+,15
CHEM-115,A-,5
CHEM-115,B,1
CHEM-115,C,3
CHEM-115,C+,1
CHEM-115,D,1
CHEM-115,F,1
CHEM-115,W,2
CHEM-120,A,1
CHEM-120,A-,1
CHEM-120,NGC,2
CHEM-121,A,1
CHEM-121,A-,1
CHEM-192,A,3
CHEM-231,A,1
CHEM-231,A+,1
CHEM-231,B+,1
CHEM-232,B,1
CHEM-241,A,2
CHEM-241,NGC,2
CHEM-242,A,2
CHEM-245,A,79
CHEM-245,A-,34
CHEM-245,B,47
CHEM-245,B+,38
CHEM-245,B-,32
CHEM-245,C,45
CHEM-245,C+,19
CHEM-245,D,24
CHEM-245,F,7
CHEM-245,W,9
CHEM-246,A,92
CHEM-246,A+,30
CHEM-246,A-,82
CHEM-246,B,27
CHEM-246,B+,41
CHEM-246,B-,15
CHEM-246,C,8
CHEM-246,C+,9
CHEM-246,D,1
CHEM-246,F,1
CHEM-246,W,1
CHEM-263,A,2
CHEM-263,B,1
CHEM-263,C,1
CHEM-263,NGC,8
CHEM-264,A,1
CHEM-264,B-,1
CHEM-264,C,1
CHEM-311,B+,1
CHEM-311,W,1
CHEM-320,A,6
CHEM-320,A+,8
CHEM-320,A-,7
CHEM-320,B+,2
CHEM-320,C,1
CHEM-333,A,4
CHEM-333,A+,7
CHEM-338,A-,2
CHEM-338,B,1
