course_id,major_group,total_enrollments,most_common_grade,most_common_level,most_common_term,timing,timing_grade
HIST-171,Cell and Molecular Neuroscience,3,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HIST-171,Environmental and Public Health,4,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HIST-171,Exercise Science,21,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
HIST-171,Health Promotion,14,B,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B
HIST-171,Microbiology and Infectious Disease,6,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
HIST-171,Neuroscience,1,C+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C+
HIST-171,Other,3,A,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A
HIST-201,Exercise Science,1,B+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B+
HIST-201,Health Promotion,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
HIST-201,Microbiology and Infectious Disease,1,B+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B+
HIST-250,Exercise Science,1,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
HIST-250,Health Promotion,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
HIST-255,Exercise Science,1,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
HIST-301,Anatomy and Physiology,1,A-,Junior,Fall,Junior (Fall),Junior (Fall) | A-
HIST-309,Anatomy and Physiology,1,W,Junior,Spring,Junior (Spring),Junior (Spring) | W
HIST-311,Exercise Science,1,C+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | C+
HIST-317,Behavioral and Cognitive Neuroscience,1,C+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | C+
HIST-317,Environmental and Public Health,1,B-,Junior,Fall,Junior (Fall),Junior (Fall) | B-
HIST-318,Anatomy and Physiology,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HIST-338,Anatomy and Physiology,1,W,Senior,Spring,Senior (Spring),Senior (Spring) | W
HIST-345,Exercise Science,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
HIST-349,Health Promotion,1,B+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B+
HIST-351,Anatomy and Physiology,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HIST-355,Exercise Science,2,F,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | F
HIST-359,Behavioral and Cognitive Neuroscience,1,A+,Senior,Summer,Senior (Summer),Senior (Summer) | A+
HIST-366,Anatomy and Physiology,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
HIST-370,Anatomy and Physiology,1,A-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A-
HIST-431,Exercise Science,1,C+,Junior,Fall,Junior (Fall),Junior (Fall) | C+
HONR-192,Anatomy and Physiology,137,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-192,Behavioral and Cognitive Neuroscience,25,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-192,Cell and Molecular Neuroscience,16,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-192,Environmental and Public Health,7,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-192,Exercise Science,40,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-192,Health Promotion,8,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-192,Microbiology and Infectious Disease,44,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-192,Neuroscience,5,F,Freshman,Fall,Freshman (Fall),Freshman (Fall) | F
HONR-192,Other,8,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-193,Anatomy and Physiology,77,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
HONR-193,Behavioral and Cognitive Neuroscience,18,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
HONR-193,Cell and Molecular Neuroscience,8,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
HONR-193,Environmental and Public Health,4,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
HONR-193,Exercise Science,33,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
HONR-193,Health Promotion,7,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
HONR-193,Microbiology and Infectious Disease,28,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
HONR-193,Neuroscience,1,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
HONR-193,Other,3,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
HONR-292A,Anatomy and Physiology,6,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292A,Behavioral and Cognitive Neuroscience,2,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-292A,Cell and Molecular Neuroscience,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292A,Exercise Science,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292A,Health Promotion,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
HONR-292A,Microbiology and Infectious Disease,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292A,Other,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292B,Anatomy and Physiology,58,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292B,Behavioral and Cognitive Neuroscience,13,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292B,Cell and Molecular Neuroscience,8,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292B,Environmental and Public Health,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292B,Exercise Science,22,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-292B,Health Promotion,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292B,Microbiology and Infectious Disease,25,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292B,Other,1,A,Junior,Summer,Junior (Summer),Junior (Summer) | A
HONR-292C,Anatomy and Physiology,20,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292C,Behavioral and Cognitive Neuroscience,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292C,Cell and Molecular Neuroscience,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292C,Exercise Science,6,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
HONR-292C,Health Promotion,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292C,Microbiology and Infectious Disease,9,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-292C,Other,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
HONR-384,Behavioral and Cognitive Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
HONR-384,Cell and Molecular Neuroscience,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
HONR-384,Exercise Science,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-384,Microbiology and Infectious Disease,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
HONR-392,Anatomy and Physiology,33,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-392,Behavioral and Cognitive Neuroscience,11,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-392,Cell and Molecular Neuroscience,2,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
HONR-392,Environmental and Public Health,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-392,Exercise Science,20,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-392,Health Promotion,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
HONR-392,Microbiology and Infectious Disease,20,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-392,Other,2,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
HONR-397,Behavioral and Cognitive Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
HONR-397,Exercise Science,3,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
HONR-397,Health Promotion,2,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
HONR-399,Anatomy and Physiology,61,S,Senior,Spring,Senior (Spring),Senior (Spring) | S
HONR-399,Behavioral and Cognitive Neuroscience,10,S,Senior,Spring,Senior (Spring),Senior (Spring) | S
HONR-399,Cell and Molecular Neuroscience,2,S,Senior,Spring,Senior (Spring),Senior (Spring) | S
HONR-399,Environmental and Public Health,1,S,Senior,Spring,Senior (Spring),Senior (Spring) | S
HONR-399,Exercise Science,18,S,Senior,Fall,Senior (Fall),Senior (Fall) | S
HONR-399,Health Promotion,2,S,Senior,Spring,Senior (Spring),Senior (Spring) | S
HONR-399,Microbiology and Infectious Disease,24,S,Senior,Fall,Senior (Fall),Senior (Fall) | S
HONR-399,Other,2,S,Senior,Fall,Senior (Fall),Senior (Fall) | S
HONR-492,Anatomy and Physiology,15,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-492,Behavioral and Cognitive Neuroscience,7,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-492,Exercise Science,16,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
HONR-492,Health Promotion,2,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
HONR-492,Microbiology and Infectious Disease,15,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
HONR-492,Other,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-499,Anatomy and Physiology,26,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-499,Environmental and Public Health,1,I,Senior,Fall,Senior (Fall),Senior (Fall) | I
HONR-499,Exercise Science,6,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-499,Health Promotion,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HONR-499,Microbiology and Infectious Disease,3,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
HONR-499,Other,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
HORT-100,Behavioral and Cognitive Neuroscience,1,B,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B
HORT-100,Cell and Molecular Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
HORT-100,Exercise Science,2,B,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B
HORT-100,Health Promotion,1,W,Freshman,Spring,Freshman (Spring),Freshman (Spring) | W
HORT-100,Neuroscience,1,F,Freshman,Fall,Freshman (Fall),Freshman (Fall) | F
HORT-171,Anatomy and Physiology,3,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
HORT-260,Cell and Molecular Neuroscience,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HORT-401,Anatomy and Physiology,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
HORT-462,Cell and Molecular Neuroscience,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
IDEA-110,Anatomy and Physiology,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IDEA-110,Exercise Science,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
IDEA-110,Neuroscience,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IDEA-210,Anatomy and Physiology,7,A,Freshman,Summer,Freshman (Summer),Freshman (Summer) | A
IDEA-210,Behavioral and Cognitive Neuroscience,1,A,Sophomore,Summer,Sophomore (Summer),Sophomore (Summer) | A
IDEA-210,Cell and Molecular Neuroscience,1,A+,Sophomore,Summer,Sophomore (Summer),Sophomore (Summer) | A+
IDEA-210,Exercise Science,6,A,Freshman,Summer,Freshman (Summer),Freshman (Summer) | A
IDEA-210,Health Promotion,5,A,Sophomore,Summer,Sophomore (Summer),Sophomore (Summer) | A
IDEA-210,Other,3,F,Freshman,Spring,Freshman (Spring),Freshman (Spring) | F
IE-116,Anatomy and Physiology,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IE-116,Exercise Science,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
IE-149A,Anatomy and Physiology,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
IE-149A,Exercise Science,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IE-182A,Anatomy and Physiology,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
IE-182A,Behavioral and Cognitive Neuroscience,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
IE-200,Anatomy and Physiology,1,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
IE-200,Behavioral and Cognitive Neuroscience,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
IE-200,Environmental and Public Health,1,B+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B+
IE-200,Exercise Science,9,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IE-200,Health Promotion,8,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IE-252A,Cell and Molecular Neuroscience,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
IE-252A,Health Promotion,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
IE-252B,Anatomy and Physiology,1,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
IE-252B,Behavioral and Cognitive Neuroscience,1,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
IE-252B,Exercise Science,3,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
IE-252B,Other,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
IE-270,Health Promotion,1,B-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B-
IE-282B,Health Promotion,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IE-382G,Anatomy and Physiology,6,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
IE-382G,Behavioral and Cognitive Neuroscience,3,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
IE-382G,Exercise Science,1,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
IE-387,Anatomy and Physiology,1,A+,Junior,Summer,Junior (Summer),Junior (Summer) | A+
IE-387,Cell and Molecular Neuroscience,1,A,Junior,Summer,Junior (Summer),Junior (Summer) | A
IE-387,Environmental and Public Health,1,A,Junior,Summer,Junior (Summer),Junior (Summer) | A
IE-387,Exercise Science,1,A,Junior,Summer,Junior (Summer),Junior (Summer) | A
IE-387,Health Promotion,1,A+,Senior,Summer,Senior (Summer),Senior (Summer) | A+
IE-387,Microbiology and Infectious Disease,1,A,Sophomore,Summer,Sophomore (Summer),Sophomore (Summer) | A
INST-179A,Anatomy and Physiology,1,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
INST-179B,Anatomy and Physiology,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
INST-179B,Behavioral and Cognitive Neuroscience,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
INST-179C,Anatomy and Physiology,1,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
INST-179C,Exercise Science,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
INST-179C,Other,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
INST-182B,Anatomy and Physiology,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
INST-182B,Microbiology and Infectious Disease,1,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
INST-200,Anatomy and Physiology,5,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
INST-200,Behavioral and Cognitive Neuroscience,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
INST-200,Exercise Science,2,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
INST-200,Health Promotion,4,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
INTD-110,Behavioral and Cognitive Neuroscience,1,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
INTD-110,Exercise Science,2,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
INTD-110,Health Promotion,1,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
INTD-110,Microbiology and Infectious Disease,1,A-,Junior,Fall,Junior (Fall),Junior (Fall) | A-
INTD-129,Behavioral and Cognitive Neuroscience,1,D,Freshman,Spring,Freshman (Spring),Freshman (Spring) | D
INTD-129,Exercise Science,4,A,Freshman,Summer,Freshman (Summer),Freshman (Summer) | A
INTD-129,Health Promotion,1,D,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | D
INTD-129,Microbiology and Infectious Disease,1,B,Junior,Spring,Junior (Spring),Junior (Spring) | B
INTD-166,Behavioral and Cognitive Neuroscience,1,C,Freshman,Spring,Freshman (Spring),Freshman (Spring) | C
INTD-166,Exercise Science,2,A-,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A-
INTD-166,Microbiology and Infectious Disease,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
INTD-359,Microbiology and Infectious Disease,1,C,Junior,Spring,Junior (Spring),Junior (Spring) | C
IU-170,Anatomy and Physiology,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
IU-170,Exercise Science,3,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
IU-170,Microbiology and Infectious Disease,2,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
IU-171,Anatomy and Physiology,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
IU-171,Exercise Science,2,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
IU-171,Microbiology and Infectious Disease,2,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
IU-172,Anatomy and Physiology,14,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
IU-172,Behavioral and Cognitive Neuroscience,5,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
IU-172,Cell and Molecular Neuroscience,2,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IU-172,Environmental and Public Health,3,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IU-172,Exercise Science,11,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
IU-172,Health Promotion,14,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
IU-172,Microbiology and Infectious Disease,6,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
IU-172A,Anatomy and Physiology,15,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IU-172A,Behavioral and Cognitive Neuroscience,3,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
IU-172A,Environmental and Public Health,1,A,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A
IU-172A,Exercise Science,14,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
IU-172A,Health Promotion,7,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
IU-172A,Microbiology and Infectious Disease,3,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IU-172A,Other,2,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
IU-173B,Anatomy and Physiology,2,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
IU-173B,Behavioral and Cognitive Neuroscience,4,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
IU-173B,Environmental and Public Health,3,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
IU-173B,Exercise Science,6,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
IU-173B,Health Promotion,3,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
IU-173B,Microbiology and Infectious Disease,2,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
IU-173B,Other,2,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
IU-173C,Anatomy and Physiology,1,A-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A-
IU-173C,Environmental and Public Health,1,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
IU-174B,Anatomy and Physiology,5,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
IU-174B,Behavioral and Cognitive Neuroscience,4,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
IU-174B,Exercise Science,7,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
IU-174B,Health Promotion,3,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
IU-174B,Microbiology and Infectious Disease,2,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IU-174D,Environmental and Public Health,1,F,Junior,Fall,Junior (Fall),Junior (Fall) | F
IU-180A2,Environmental and Public Health,1,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
IU-180A2,Exercise Science,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
IU-180A6,Cell and Molecular Neuroscience,1,XA+,Senior,Spring,Senior (Spring),Senior (Spring) | XA+
IU-180A7,Anatomy and Physiology,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
IU-180A7,Exercise Science,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
IU-270,Anatomy and Physiology,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
IU-270,Health Promotion,1,A,Junior,Summer,Junior (Summer),Junior (Summer) | A
IU-270,Microbiology and Infectious Disease,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
IU-271,Anatomy and Physiology,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
IU-271,Health Promotion,1,A,Junior,Summer,Junior (Summer),Junior (Summer) | A
IU-271,Microbiology and Infectious Disease,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
IU-274,Anatomy and Physiology,22,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
IU-274,Behavioral and Cognitive Neuroscience,8,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
IU-274,Cell and Molecular Neuroscience,4,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
IU-274,Exercise Science,14,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
IU-274,Health Promotion,1,C,Junior,Fall,Junior (Fall),Junior (Fall) | C
IU-274,Microbiology and Infectious Disease,7,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
IU-274,Other,1,W,Junior,Fall,Junior (Fall),Junior (Fall) | W
IU-300,Anatomy and Physiology,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
IU-300,Behavioral and Cognitive Neuroscience,2,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
IU-300,Cell and Molecular Neuroscience,1,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
IU-300,Environmental and Public Health,1,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
IU-300,Microbiology and Infectious Disease,3,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
IU-470,Anatomy and Physiology,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
IU-470,Exercise Science,1,F,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | F
IU-470,Health Promotion,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
IU-470,Microbiology and Infectious Disease,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
IU-471,Anatomy and Physiology,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
IU-471,Health Promotion,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
IU-498,Anatomy and Physiology,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
JTC-100,Anatomy and Physiology,4,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
JTC-100,Environmental and Public Health,2,B,Junior,Fall,Junior (Fall),Junior (Fall) | B
JTC-100,Exercise Science,11,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
JTC-100,Health Promotion,12,B-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B-
JTC-100,Microbiology and Infectious Disease,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
JTC-100,Other,1,B-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B-
JTC-210,Exercise Science,6,A-,Junior,Fall,Junior (Fall),Junior (Fall) | A-
JTC-210,Microbiology and Infectious Disease,1,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
JTC-211,Exercise Science,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
JTC-211,Microbiology and Infectious Disease,1,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
JTC-270,Exercise Science,1,B+,Junior,Fall,Junior (Fall),Junior (Fall) | B+
JTC-300,Anatomy and Physiology,21,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
JTC-300,Behavioral and Cognitive Neuroscience,1,W,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | W
JTC-300,Environmental and Public Health,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
JTC-300,Exercise Science,4,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
JTC-300,Health Promotion,2,B-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B-
JTC-300,Microbiology and Infectious Disease,6,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
JTC-301,Anatomy and Physiology,1,A-,Junior,Spring,Junior (Spring),Junior (Spring) | A-
JTC-301,Exercise Science,1,W,Freshman,Summer,Freshman (Summer),Freshman (Summer) | W
JTC-301,Microbiology and Infectious Disease,2,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
JTC-326,Microbiology and Infectious Disease,1,B+,Senior,Spring,Senior (Spring),Senior (Spring) | B+
JTC-350,Microbiology and Infectious Disease,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
JTC-354,Microbiology and Infectious Disease,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
JTC-490,Exercise Science,1,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
KEY-175,Anatomy and Physiology,6,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
KEY-175,Behavioral and Cognitive Neuroscience,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
KEY-175,Cell and Molecular Neuroscience,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
KEY-175,Exercise Science,6,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
KEY-175,Microbiology and Infectious Disease,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
KEY-175,Neuroscience,1,B-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B-
KEY-175,Other,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
KEY-192A,Anatomy and Physiology,18,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
KEY-192A,Behavioral and Cognitive Neuroscience,5,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
KEY-192A,Environmental and Public Health,5,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
KEY-192A,Exercise Science,23,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
KEY-192A,Health Promotion,5,A+,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A+
KEY-192A,Microbiology and Infectious Disease,7,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
