course_id,major_group,total_enrollments,most_common_grade,most_common_level,most_common_term,timing,timing_grade
AA-100,Anatomy and Physiology,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
AGED-110,Microbiology and Infectious Disease,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
AGED-220,Anatomy and Physiology,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
AGED-220,Microbiology and Infectious Disease,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
AGED-330,Anatomy and Physiology,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
AGRI-116,Anatomy and Physiology,2,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
AGRI-116,Exercise Science,1,C,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | C
AGRI-116,Microbiology and Infectious Disease,1,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
AHS-280A1,Behavioral and Cognitive Neuroscience,1,B-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B-
AHS-280A1,Exercise Science,1,C,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | C
AHS-280A1,Health Promotion,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
AHS-487B,Anatomy and Physiology,1,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
AM-101,Exercise Science,1,B+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B+
AM-110,Exercise Science,1,C,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | C
AM-130,Anatomy and Physiology,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
AM-130,Exercise Science,3,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
AM-130,Health Promotion,1,B,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B
AM-130,Microbiology and Infectious Disease,2,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
AM-143,Exercise Science,1,B-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B-
AM-220,Exercise Science,1,C,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | C
AM-250,Environmental and Public Health,1,B,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B
AM-250,Exercise Science,4,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
AM-250,Microbiology and Infectious Disease,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
AM-364,Anatomy and Physiology,1,D,Sophomore,Summer,Sophomore (Summer),Sophomore (Summer) | D
AMST-100,Anatomy and Physiology,1,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
AMST-100,Cell and Molecular Neuroscience,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
AMST-100,Exercise Science,8,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
AMST-100,Health Promotion,2,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
AMST-100,Microbiology and Infectious Disease,3,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
AMST-100,Neuroscience,2,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
AMST-101,Anatomy and Physiology,6,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
AMST-101,Behavioral and Cognitive Neuroscience,4,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
AMST-101,Cell and Molecular Neuroscience,1,B,Senior,Fall,Senior (Fall),Senior (Fall) | B
AMST-101,Environmental and Public Health,5,A-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A-
AMST-101,Exercise Science,11,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
AMST-101,Health Promotion,20,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
AMST-101,Microbiology and Infectious Disease,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
AMST-101,Other,3,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANEQ-101,Anatomy and Physiology,5,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
ANEQ-101,Exercise Science,5,W,Freshman,Fall,Freshman (Fall),Freshman (Fall) | W
ANEQ-101,Health Promotion,2,C+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C+
ANEQ-101,Microbiology and Infectious Disease,3,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
ANEQ-102,Anatomy and Physiology,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANEQ-102,Behavioral and Cognitive Neuroscience,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
ANEQ-102,Exercise Science,1,B,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B
ANEQ-102,Health Promotion,1,F,Freshman,Fall,Freshman (Fall),Freshman (Fall) | F
ANEQ-102,Microbiology and Infectious Disease,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANEQ-102,Other,1,B,Junior,Fall,Junior (Fall),Junior (Fall) | B
ANEQ-115,Anatomy and Physiology,2,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
ANEQ-115,Behavioral and Cognitive Neuroscience,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
ANEQ-115,Exercise Science,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
ANEQ-115,Microbiology and Infectious Disease,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
